fname,ARIMA,SARIMA,RNN,LSTM
D27.csv,0.049618609071573325,0.022852583118494665,25.6868,1.0728554536007555
D136.csv,0.14781615272186838,0.23656537685604595,2.6157472,11.99753204830109
D155.csv,0.02338806963465851,0.019427007092189832,5.831026,0.5889951479335779
D41.csv,0.35579938212938184,0.15508793172210558,6.3259573,7.2467937452552755
D47.csv,0.021184795841127764,0.01622879831345241,5.478459,1.655518414460169
D32.csv,0.03538714688170876,0.028325759774177478,30.95184,3.1026071482375164
D131.csv,0.032465943762661445,0.036156709042975355,4.5128865,3.3730584968056516
D46.csv,0.03333219200794017,0.02290995908160873,42.37444,1.7008503280705602
D142.csv,0.029403855470977347,0.029427930072375964,12.937744,1.1531354566877658
D31.csv,0.03408324206864398,0.031362610850044305,63.533997,3.8274839170278114
D9.csv,0.01102639141845129,0.011128318886190407,10.59744,1.0177742431384578
D154.csv,0.03787688940861993,0.048630983613594705,46.964085,3.4484395408290998
D15.csv,0.05918379589694676,0.061284318163086306,4.613077,3.0608886386550784
D30.csv,0.050558586684953444,0.028809843848047478,3.8281415,1.5037163084422853
D133.csv,0.08303486513284364,0.06249850165789808,20.69834,12.128123182685977
D5.csv,0.029208364421540924,0.013257996955080193,11.818704,6.850450158072493
D146.csv,0.04265996294516962,0.027910943559565703,13.070083,1.7337868816423159
D156.csv,0.1566778431730313,0.06841250664470062,38.20205,4.879490381648713
D6.csv,0.09946913371860525,0.04054540825648896,28.718042,2.942982957544285
D132.csv,0.37606726804703994,0.26020695812463057,32.788563,7.853103520881617
D40.csv,0.029275220819884307,0.01727621099929639,9.55839,2.1777477291601057
D145.csv,0.020391467839610468,0.028355214153487164,5.9819894,1.0540051690748602
D153.csv,0.1566694809087273,0.13178096560232494,37.287476,3.693158086513758
D50.csv,0.00017015850120367736,0.00016535241740478054,15.031661,0.009569279520384166
D37.csv,0.02843520819323941,0.07212439774683364,5.4733157,3.5124468314938957
D151.csv,0.029568474843970526,0.024582950271013815,9.164817,3.2357091575118258
D7.csv,0.39363408565442504,0.4177607669344508,7.2374473,12.58467140946763
D148.csv,0.046624015382141615,0.042498802841869264,17.745544,2.89170673691033
D49.csv,0.10666493234502608,0.09213764043911875,5.5432377,5.079392597729934
